Source,Target,Weight,Book
brahma,ayodhya,3,2
manas,sarju,1,2
manas,ayodhya,1,2
sarju,ayodhya,3,2
ganga,raghu,1,2
malaja,indra,1,2
tadaka,sunda,1,2
sunda,indra,1,2
visvamitra,raghu,3,2
tadaka,brahma,2,2
sunda,agastya,1,2
maricha,agastya,2,2
manthara,virochan,1,2
manthara,indra,1,2
manthara,kavya,1,2
virochan,indra,4,2
virochan,kavya,1,2
virochan,bhrigu,1,2
indra,kavya,3,2
indra,bhrigu,3,2
kavya,bhrigu,1,2
kavya,vishnu,1,2
bhrigu,vishnu,1,2
thousand-eyed,indra,1,2
dasaratha,visvamitra,1,2
dasaratha,tadaka,1,2
visvamitra,tadaka,1,2
vishnu,indra,2,2
vishnu,siva,2,2
indra,siva,1,2
siva,brahma,2,2
varun,siva,1,2
raghu,krisasva,3,2
bali,virochan,5,2
raghu,diksha,2,2
suvahu,rama,2,2
indra,visvamitra,1,2
visvamitra,rama,1,2
visvamitra,mithila,1,2
rama,mithila,5,2
ganga,himalaya,8,2
lakshman,rama,3,2
brahma,kusa,1,2
kusamba,kausambi,1,2
kusamba,kusanabha,1,2
kusamba,mahodaya,1,2
kusamba,amurtarajas,1,2
kausambi,kusanabha,1,2
kausambi,mahodaya,1,2
kausambi,amurtarajas,1,2
kausambi,dharmaranya,1,2
kusanabha,mahodaya,6,2
kusanabha,amurtarajas,6,2
kusanabha,dharmaranya,6,2
mahodaya,amurtarajas,1,2
mahodaya,dharmaranya,1,2
mahodaya,girivraja,1,2
amurtarajas,dharmaranya,1,2
amurtarajas,girivraja,1,2
dharmaranya,girivraja,1,2
sumagadhi,magadh,1,2
ghritachi,kusanabha,1,2
kanyakubja,chuli,1,2
urmila,somada,1,2
brahmadatta,kampili,3,2
brahmadatta,indra,3,2
brahmadatta,kusanabha,3,2
kampili,indra,1,2
kampili,kusanabha,1,2
indra,kusanabha,2,2
kusa,brahma,4,2
kusa,kusanabha,5,2
brahma,kusanabha,3,2
kusanabha,gadhi,2,2
gadhi,brahma,3,2
satyavati,richika,1,2
sona,rama,2,2
raghu,ganga,3,2
himalaya,meru,5,2
meru,mena,1,2
meru,ganga,1,2
meru,uma,1,2
mena,himalaya,1,2
mena,ganga,1,2
mena,uma,1,2
uma,ganga,4,2
uma,himalaya,4,2
rudra,uma,1,2
rama,ayodhya,1,2
ayodhya,sagar,1,2
sagar,vidarbha,2,2
vidarbha,kesini,1,2
vidarbha,arishtanemi,1,2
kesini,arishtanemi,2,2
arishtanemi,sumati,1,2
sumati,himalaya,3,2
bhrigu,sagar,1,2
asamanj,sumati,2,2
sagar,himalaya,4,2
sagar,vindhya,4,2
himalaya,vindhya,1,2
vindhya,ansuman,1,2
ansuman,sagar,1,2
ansuman,indra,1,2
vasudeva,madhu,2,2
vasudeva,kapil,2,2
madhu,kapil,1,2
soma,bhadra,1,2
garud,vinata,1,2
vinata,kapil,1,2
sagar,ansuman,6,2
ansuman,dilipa,3,2
dilipa,himalaya,3,2
