Source,Target,Book_no,Weight
ahalya,satrughna,1,0.418794
ahalya,sita,1,0.59639627
ahalya,siva,1,0.47548923
ahalya,sthanu,1,0.2524234
ahalya,sudaman,1,0.13868651
ahalya,sudarsan,1,0.37282744
ahalya,sudhanva,1,0.07911775
ahalya,sudras,1,0.1825571
ahalya,sugriva,1,0.5673916
ahalya,suketu,1,0.14646205
ahalya,sumantra,1,0.51713073
ahalya,sumati,1,0.2938831
ahalya,sumitra,1,0.40070188
ahalya,sun,1,0.6293543
ahalya,sunahsepha,1,0.32012805
ahalya,sunda,1,0.4201797
ahalya,suvahu,1,0.30824667
ahalya,tadaka,1,0.44493583
ahalya,tara,1,0.25492975
ahalya,thousand-eyed,1,0.63927215
ahalya,titan,1,0.5092723
ahalya,trident,1,0.45791283
ahalya,tripura,1,0.17223756
ahalya,trisanku,1,0.4659173
ahalya,uma,1,0.43201143
ahalya,urmila,1,0.35769847
ahalya,valmiki,1,0.45522362
ahalya,vamadeva,1,0.31384858
ahalya,varun,1,0.29153883
ahalya,vasishtha,1,0.6462029
ahalya,vasudeva,1,0.1704129
ahalya,vedas,1,0.22164516
ahalya,vibhandak,1,0.2917241
ahalya,vibhishan,1,0.15312423
ahalya,viradha,1,0.1952287
ahalya,virtue,1,0.61847657
ahalya,visala,1,0.11965372
ahalya,vishnu,1,0.63464224
ahalya,visvamitra,1,0.64882123
ahalya,wind,1,0.5117015
ahalya,wind-god,1,0.30736828
ahalya,yudhajit,1,0.23335871
air,ambarisha,1,0.39505774
air,ansuman,1,0.7462529
air,asamanj,1,0.5510327
air,asit,1,0.37074256
air,asoka,1,0.2406961
air,asurs,1,0.37580556
air,asvins,1,0.35155973
air,ayodhya,1,0.8309935
air,bali,1,0.88199806
air,barbars,1,0.20854467
air,beauty,1,0.82645947
air,bhagirath,1,0.89050263
air,bharadvaja,1,0.6733548
air,bharat,1,0.90017027
air,bhrigu,1,0.56102526
air,brahma,1,0.89032704
air,brahmadatta,1,0.23344246
air,chandala,1,0.39304566
air,dasaratha,1,0.94619626
air,devarat,1,0.5424882
air,dilipa,1,0.65614027
air,diti,1,0.44111946
air,fame,1,0.9625824
air,fate,1,0.96596944
air,fire,1,0.93934256
air,fortune,1,0.8568564
air,gadhi,1,0.37788397
air,ganga,1,0.9372765
air,gautam,1,0.6384677
air,glory,1,0.96481633
air,guha,1,0.38848493
air,hanuman,1,0.7272296
air,himalaya,1,0.47195077
air,honour,1,0.9559098
air,ikshvaku,1,0.51571417
air,indra,1,0.96083754
air,jahnu,1,0.40534535
air,jahnavi,1,0.26807982
