Source,Target,Weight,Book,vader
agni,nila,1,2,0.9337
agni,asvins,1,2,0.9337
nila,asvins,1,2,0.9337
asvins,dwivida,1,2,0.9081
asvins,mainda,1,2,0.9081
asvins,varun,1,2,0.9081
dwivida,mainda,1,2,0.8885
dwivida,varun,1,2,0.8885
dwivida,sushen,1,2,0.8885
dwivida,sarabh,1,2,0.8885
dwivida,hanuman,1,2,0.8885
mainda,varun,1,2,0.8885
mainda,sushen,1,2,0.8885
mainda,sarabh,1,2,0.8885
mainda,hanuman,1,2,0.8885
varun,sushen,1,2,0.8225
varun,sarabh,1,2,0.8225
varun,hanuman,1,2,0.8225
sushen,sarabh,1,2,0.8779
sushen,hanuman,1,2,0.8779
sarabh,hanuman,1,2,0.8779
hanuman,garud,1,2,0.8979
santa,vasishtha,6,2,0.05303333333333333
sumitra,santa,2,2,0.6808
kaikeyi,santa,2,2,0.0
champa,lomapad,1,2,0.7184
chaitra,aditi,1,2,0.7906
aditi,vrihaspati,2,2,0.3818
vrihaspati,kausalya,1,2,0.91
vrihaspati,rama,1,2,0.91
kausalya,rama,9,2,0.9310888888888889
rama,aditi,7,2,0.9299999999999999
ravan,vishnu,1,2,0.25
ravan,kaikeyi,1,2,0.25
vishnu,kaikeyi,5,2,0.7931199999999999
vishnu,bharat,7,2,0.7462000000000001
kaikeyi,bharat,2,2,0.7717
kaikeyi,sumitra,2,2,0.7717
bharat,sumitra,4,2,0.7003
bharat,lakshman,10,2,0.7544799999999998
bharat,satrughna,9,2,0.7738222222222223
sumitra,lakshman,3,2,0.8271000000000001
sumitra,satrughna,3,2,0.8271000000000001
sumitra,vishnu,3,2,0.8271000000000001
sumitra,pushya,4,2,0.7207999999999999
sumitra,mina,4,2,0.7207999999999999
lakshman,satrughna,6,2,0.7906
lakshman,vishnu,6,2,0.7906
lakshman,pushya,6,2,0.7906
lakshman,mina,6,2,0.7906
satrughna,vishnu,3,2,0.7906
satrughna,pushya,3,2,0.7906
satrughna,mina,3,2,0.7906
pushya,mina,1,2,0.4019
pushya,bharat,1,2,0.4019
mina,bharat,1,2,0.4019
vasishtha,rama,15,2,0.7784466666666668
vasishtha,bharat,1,2,0.5859
vasishtha,kaikeyi,1,2,0.5859
vasishtha,sumitra,1,2,0.5859
ayodhya,visvamitra,2,2,-0.43379999999999996
indra,brahma,2,2,0.18489999999999998
rama,raghu,13,2,0.754376923076923
pulastya,ravan,1,2,0.4215
maricha,suvahu,4,2,-0.20095
sunda,upasunda,1,2,0.0
sunda,maricha,3,2,-0.2886
sunda,suvahu,1,2,0.0
upasunda,maricha,1,2,0.2732
upasunda,suvahu,1,2,0.2732
visvamitra,vasishtha,10,2,-0.06421000000000002
ikshvaku,raghu,3,2,0.8309333333333333
krisasva,daksha,2,2,0.9468
krisasva,jaya,2,2,0.9468
daksha,jaya,2,2,0.9516
vasishtha,lakshman,6,2,0.9144333333333335
rama,lakshman,24,2,0.26465000000000005
kusik,rama,3,2,0.7491333333333333
kusik,lakshman,1,2,0.7845
kusik,visvamitra,1,2,0.7845
kusik,wind-god,1,2,0.7845
visvamitra,wind-god,1,2,0.9042
raghu,lakshman,6,2,-0.4269833333333333
indra,lakshman,2,2,-0.5574
asvins,indra,1,2,0.7351
siva,sarju,1,2,0.3182
sarju,rama,2,2,0.5106
visvamitra,sarju,1,2,0.4767
sarju,ganga,1,2,0.0
kandarpa,uma,1,2,0.8176
kandarpa,sthanu,1,2,0.8176
uma,sthanu,1,2,0.6486
kailasa,brahma,1,2,0.0516
kailasa,manas,1,2,0.0516
brahma,manas,2,2,0.3182
brahma,sarju,4,2,0.47755000000000003
brahma,ayodhya,3,2,0.3589333333333333
manas,sarju,1,2,0.3182
manas,ayodhya,1,2,0.3182
sarju,ayodhya,3,2,0.5714
ganga,raghu,1,2,0.34
malaja,indra,1,2,-0.1779
tadaka,sunda,1,2,0.4939
sunda,indra,1,2,0.0
visvamitra,raghu,3,2,0.6172
tadaka,brahma,2,2,0.3804
sunda,agastya,1,2,-0.8658
maricha,agastya,2,2,-0.836
manthara,virochan,1,2,-0.91
manthara,indra,1,2,-0.91
manthara,kavya,1,2,-0.91
virochan,indra,4,2,0.46945
virochan,kavya,1,2,-0.8225
virochan,bhrigu,1,2,-0.8225
indra,kavya,3,2,-0.2521666666666667
indra,bhrigu,3,2,-0.2521666666666667
kavya,bhrigu,1,2,0.8885
kavya,vishnu,1,2,0.8885
bhrigu,vishnu,1,2,0.8885
thousand-eyed,indra,1,2,0.2263
dasaratha,visvamitra,1,2,0.7906
dasaratha,tadaka,1,2,0.7906
visvamitra,tadaka,1,2,0.7506
vishnu,indra,2,2,-0.1012
vishnu,siva,2,2,-0.1012
indra,siva,1,2,0.0516
siva,brahma,2,2,-0.4588
varun,siva,1,2,0.5719
raghu,krisasva,3,2,0.8302333333333335
bali,virochan,5,2,0.9000999999999999
raghu,diksha,2,2,0.3612
suvahu,rama,2,2,-0.4939
indra,visvamitra,1,2,0.9371
visvamitra,rama,1,2,0.4588
visvamitra,mithila,1,2,0.4588
rama,mithila,5,2,0.4588
ganga,himalaya,8,2,0.334075
lakshman,rama,3,2,0.47656666666666664
brahma,kusa,1,2,0.8834
kusamba,kausambi,1,2,0.5574
kusamba,kusanabha,1,2,0.5574
kusamba,mahodaya,1,2,0.5574
kusamba,amurtarajas,1,2,0.5574
kausambi,kusanabha,1,2,0.7096
kausambi,mahodaya,1,2,0.7096
kausambi,amurtarajas,1,2,0.7096
kausambi,dharmaranya,1,2,0.7096
kusanabha,mahodaya,6,2,0.7096
kusanabha,amurtarajas,6,2,0.7096
kusanabha,dharmaranya,6,2,0.7096
mahodaya,amurtarajas,1,2,0.4215
mahodaya,dharmaranya,1,2,0.4215
mahodaya,girivraja,1,2,0.4215
amurtarajas,dharmaranya,1,2,0.4215
amurtarajas,girivraja,1,2,0.4215
dharmaranya,girivraja,1,2,0.3182
sumagadhi,magadh,1,2,0.8481
ghritachi,kusanabha,1,2,0.9168
kanyakubja,chuli,1,2,0.6369
urmila,somada,1,2,0.7906
brahmadatta,kampili,3,2,0.9501
brahmadatta,indra,3,2,0.9501
brahmadatta,kusanabha,3,2,0.9501
kampili,indra,1,2,0.8442
kampili,kusanabha,1,2,0.8442
indra,kusanabha,2,2,0.765
kusa,brahma,4,2,0.7003
kusa,kusanabha,5,2,0.61944
brahma,kusanabha,3,2,0.7003
kusanabha,gadhi,2,2,0.49815
gadhi,brahma,3,2,0.0
satyavati,richika,1,2,0.8516
